HHINC,FINC_FIN,HPRES_MORT,HDIV_YN,FOWNU18,HINT_YN,RPP
0,0,0,0,0,0,91.1
0,0,0,0,0,0,91.1
0,0,0,0,0,0,91.1
41,0,2,2,0,1,91.1
15,0,0,2,0,1,91.1
14,0,1,2,0,1,91.1
41,0,1,2,0,1,91.1
29,0,0,2,0,1,91.1
0,0,0,0,0,0,91.1
41,0,1,2,0,1,91.1
37,0,1,2,0,1,91.1
11,0,1,2,0,2,91.1
0,0,0,0,0,0,91.1
22,0,1,2,0,1,91.1
10,0,0,2,0,2,91.1
0,0,0,0,0,0,91.1
20,0,0,2,0,2,91.1
0,0,0,0,0,0,91.1
0,0,0,0,0,0,96.5
23,0,1,2,0,2,96.5
7,0,0,2,0,1,96.5
13,0,0,2,0,2,96.5
35,0,0,2,0,1,96.5
30,0,1,2,0,1,96.5
41,0,1,2,0,1,96.5
13,0,1,2,0,1,96.5
0,0,0,0,0,0,96.5
2,0,0,2,0,2,96.5
0,0,0,0,0,0,96.5
0,0,0,0,0,0,96.5
41,0,1,2,0,1,96.5
12,0,2,2,0,1,96.5
15,0,0,2,0,2,96.5
11,0,0,2,0,1,96.5
0,0,0,0,0,0,96.5
0,0,0,0,0,0,96.5
41,0,1,2,0,1,96.6
38,0,0,2,0,2,96.6
31,0,2,1,0,1,96.6
41,0,1,2,0,1,96.6
0,0,0,0,0,0,96.6
33,0,1,2,0,2,96.6
0,0,0,0,0,0,96.6
0,0,0,0,0,0,96.6
41,0,2,2,0,1,96.6
41,0,1,1,0,1,96.6
34,0,2,2,0,1,96.6
0,0,0,0,0,0,96.6
18,0,0,1,0,1,96.6
14,0,2,2,0,2,96.6
0,0,0,0,0,0,97.5
19,0,2,2,0,2,97.5
41,0,1,2,0,2,97.5
32,0,1,2,0,1,97.5
34,0,2,2,0,1,97.5
32,0,2,2,0,1,97.5
